Starting server on port 37475
 * Serving Flask app 'system_monitor_rev0.4'
 * Debug mode: off
Starting monitoring with file: thermal_cpu_mem_gpu_wifi.log for client IP: 10.88.89.75
<generator object read_data_from_file at 0x7e8b87368740>
{'elapsed_time': '32:44', 'cpu_usage': 58.0, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 66.2, 'rx_receiver_throughput': 64.8}
{'elapsed_time': '33:02', 'cpu_usage': 63.6, 'temperature': 51, 'memory_test_failure': 0, 'tx_sender_throughput': 68.7, 'rx_receiver_throughput': 67.2}
{'elapsed_time': '33:20', 'cpu_usage': 63.5, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 63.9, 'rx_receiver_throughput': 62.8}
{'elapsed_time': '33:37', 'cpu_usage': 66.6, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 70.1, 'rx_receiver_throughput': 68.4}
{'elapsed_time': '33:55', 'cpu_usage': 56.5, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 66.6, 'rx_receiver_throughput': 64.8}
{'elapsed_time': '34:13', 'cpu_usage': 55.9, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 67.8, 'rx_receiver_throughput': 66.1}
{'elapsed_time': '34:31', 'cpu_usage': 62.6, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 67.6, 'rx_receiver_throughput': 65.5}
{'elapsed_time': '34:48', 'cpu_usage': 57.3, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 65.5, 'rx_receiver_throughput': 63.4}
{'elapsed_time': '35:06', 'cpu_usage': 55.4, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 62.4, 'rx_receiver_throughput': 60.6}
{'elapsed_time': '35:24', 'cpu_usage': 52.1, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 64.7, 'rx_receiver_throughput': 63.0}
{'elapsed_time': '35:42', 'cpu_usage': 51.7, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 70.1, 'rx_receiver_throughput': 68.5}
{'elapsed_time': '36:00', 'cpu_usage': 59.2, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 60.3, 'rx_receiver_throughput': 58.7}
{'elapsed_time': '36:17', 'cpu_usage': 64.3, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 64.3, 'rx_receiver_throughput': 62.4}
{'elapsed_time': '36:35', 'cpu_usage': 66.2, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 65.3, 'rx_receiver_throughput': 63.4}
{'elapsed_time': '36:53', 'cpu_usage': 65.1, 'temperature': 51, 'memory_test_failure': 0, 'tx_sender_throughput': 64.9, 'rx_receiver_throughput': 63.0}
{'elapsed_time': '37:11', 'cpu_usage': 59.5, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 63.9, 'rx_receiver_throughput': 62.1}
{'elapsed_time': '37:28', 'cpu_usage': 61.3, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 65.3, 'rx_receiver_throughput': 63.3}
{'elapsed_time': '37:46', 'cpu_usage': 58.1, 'temperature': 51, 'memory_test_failure': 0, 'tx_sender_throughput': 63.2, 'rx_receiver_throughput': 61.8}
{'elapsed_time': '38:04', 'cpu_usage': 63.9, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 58.0, 'rx_receiver_throughput': 56.4}
{'elapsed_time': '38:22', 'cpu_usage': 55.7, 'temperature': 51, 'memory_test_failure': 0, 'tx_sender_throughput': 61.8, 'rx_receiver_throughput': 60.2}
{'elapsed_time': '38:39', 'cpu_usage': 61.7, 'temperature': 51, 'memory_test_failure': 0, 'tx_sender_throughput': 63.7, 'rx_receiver_throughput': 62.1}
{'elapsed_time': '38:57', 'cpu_usage': 55.0, 'temperature': 51, 'memory_test_failure': 0, 'tx_sender_throughput': 67.8, 'rx_receiver_throughput': 65.9}
{'elapsed_time': '39:15', 'cpu_usage': 56.4, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 67.2, 'rx_receiver_throughput': 65.7}
{'elapsed_time': '39:33', 'cpu_usage': 64.5, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 66.8, 'rx_receiver_throughput': 65.1}
{'elapsed_time': '39:50', 'cpu_usage': 60.2, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 66.6, 'rx_receiver_throughput': 64.8}
{'elapsed_time': '40:08', 'cpu_usage': 55.1, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 65.3, 'rx_receiver_throughput': 63.6}
{'elapsed_time': '40:26', 'cpu_usage': 63.3, 'temperature': 51, 'memory_test_failure': 0, 'tx_sender_throughput': 66.0, 'rx_receiver_throughput': 64.3}
{'elapsed_time': '40:43', 'cpu_usage': 48.6, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 62.6, 'rx_receiver_throughput': 60.8}
{'elapsed_time': '41:01', 'cpu_usage': 58.2, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 62.4, 'rx_receiver_throughput': 60.8}
{'elapsed_time': '41:19', 'cpu_usage': 63.4, 'temperature': 51, 'memory_test_failure': 0, 'tx_sender_throughput': 63.9, 'rx_receiver_throughput': 62.1}
{'elapsed_time': '41:37', 'cpu_usage': 52.3, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 69.5, 'rx_receiver_throughput': 67.7}
{'elapsed_time': '41:55', 'cpu_usage': 54.2, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 69.9, 'rx_receiver_throughput': 68.1}
{'elapsed_time': '42:12', 'cpu_usage': 66.8, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 67.4, 'rx_receiver_throughput': 65.4}
{'elapsed_time': '42:30', 'cpu_usage': 60.5, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 63.2, 'rx_receiver_throughput': 61.5}
{'elapsed_time': '42:48', 'cpu_usage': 60.1, 'temperature': 51, 'memory_test_failure': 0, 'tx_sender_throughput': 69.5, 'rx_receiver_throughput': 67.4}
{'elapsed_time': '43:06', 'cpu_usage': 62.4, 'temperature': 51, 'memory_test_failure': 0, 'tx_sender_throughput': 69.1, 'rx_receiver_throughput': 67.4}
{'elapsed_time': '43:24', 'cpu_usage': 60.8, 'temperature': 51, 'memory_test_failure': 0, 'tx_sender_throughput': 65.9, 'rx_receiver_throughput': 64.3}
{'elapsed_time': '43:41', 'cpu_usage': 54.7, 'temperature': 51, 'memory_test_failure': 0, 'tx_sender_throughput': 64.5, 'rx_receiver_throughput': 62.8}
{'elapsed_time': '43:59', 'cpu_usage': 60.5, 'temperature': 51, 'memory_test_failure': 0, 'tx_sender_throughput': 68.7, 'rx_receiver_throughput': 67.0}
{'elapsed_time': '44:17', 'cpu_usage': 57.6, 'temperature': 51, 'memory_test_failure': 0, 'tx_sender_throughput': 68.7, 'rx_receiver_throughput': 66.8}
{'elapsed_time': '44:34', 'cpu_usage': 58.6, 'temperature': 51, 'memory_test_failure': 0, 'tx_sender_throughput': 69.9, 'rx_receiver_throughput': 68.1}
{'elapsed_time': '44:52', 'cpu_usage': 55.4, 'temperature': 51, 'memory_test_failure': 0, 'tx_sender_throughput': 68.4, 'rx_receiver_throughput': 66.5}
{'elapsed_time': '45:10', 'cpu_usage': 54.4, 'temperature': 51, 'memory_test_failure': 0, 'tx_sender_throughput': 66.0, 'rx_receiver_throughput': 64.6}
{'elapsed_time': '45:27', 'cpu_usage': 64.2, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 69.1, 'rx_receiver_throughput': 67.3}
{'elapsed_time': '45:45', 'cpu_usage': 64.3, 'temperature': 51, 'memory_test_failure': 0, 'tx_sender_throughput': 66.8, 'rx_receiver_throughput': 65.2}
{'elapsed_time': '46:03', 'cpu_usage': 54.0, 'temperature': 51, 'memory_test_failure': 0, 'tx_sender_throughput': 69.7, 'rx_receiver_throughput': 68.0}
{'elapsed_time': '46:21', 'cpu_usage': 55.8, 'temperature': 51, 'memory_test_failure': 0, 'tx_sender_throughput': 69.1, 'rx_receiver_throughput': 67.4}
